brand,spinpotential,stringname,stringlink,materialcode
Head,3.9,Synthetic Gut PPS 16,http://www.tennis-warehouse.com/descpage-HPPS16.html,N
Head,3.8,FXP 16,http://www.tennis-warehouse.com/descpage-HFLEXPT16.html,N+
Head,3.6,Synthetic Gut 16,http://www.tennis-warehouse.com/descpage-HSG16.html,N
Head,3.5,Fibergel Spin 16,http://www.tennis-warehouse.com/descpage-HFGSPIN16.html,N
Head,3.1,Fibergel Power 17,http://www.tennis-warehouse.com/descpage-HFGPWR17.html,N
Head,3,Fibergel Power 16,http://www.tennis-warehouse.com/descpage-HFGWR16.html,N
Head,2.6,PerfectControl 16,http://www.tennis-warehouse.com/descpage-HPC16.html,PF
Head,2.6,RIP Control 16,http://www.tennis-warehouse.com/descpage-RCON16.html,N+
Head,1.9,ETS 16,http://www.tennis-warehouse.com/descpage-HETS16.html,N
Head,1.9,ETS 17,http://www.tennis-warehouse.com/descpage-HETS17.html,N
IsoSpeed,7,Pyramid 16,http://www.tennis-warehouse.com/descpage-ISOP16.html,P
IsoSpeed,5.6,Black Fire 17,http://www.tennis-warehouse.com/descpage-ISOBF16.html,P
IsoSpeed,4.7,Pulse 16,http://www.tennis-warehouse.com/descpage-ISOPUL16.html,P
IsoSpeed,3.2,Axon Mono 16L,http://www.tennis-warehouse.com/descpage-ISOAX16L.html,P
IsoSpeed,3,Axon Multi 16L,http://www.tennis-warehouse.com/descpage-ISOAXMUL16.html,N+
IsoSpeed,2.4,Energetic Plus 16,http://www.tennis-warehouse.com/descpage-ISOENP.html,N+
IsoSpeed,2.3,Control Classic 16,http://www.tennis-warehouse.com/descpage-ISOCC16.html,PF
IsoSpeed,1.9,Energetic 17,http://www.tennis-warehouse.com/descpage-ISOEN17.html,N+
IsoSpeed,1.6,Professional Classic 17,http://www.tennis-warehouse.com/descpage-ISOPC17.html,PF
Kirschbaum,7.5,Spiky Shark 16,http://www.tennis-warehouse.com/descpage-SHARK16.html,P
Kirschbaum,7.4,Spiky Shark 17,http://www.tennis-warehouse.com/descpage-SHARK17.html,P
Kirschbaum,5.8,Black Shark 17 (1.25),http://www.tennis-warehouse.com/descpage-SHARK17BK.html,P
Kirschbaum,5.7,Pro Line II 1.30,http://www.tennis-warehouse.com/descpage-PL2130.html,P
Kirschbaum,5.7,Super Smash 17 (1.25),http://www.tennis-warehouse.com/descpage-SMSH17120.html,P
Kirschbaum,5.4,Black Shark 16 (1.30),http://www.tennis-warehouse.com/descpage-SHARK16BK.html,P
Kirschbaum,5.4,Helix 16,http://www.tennis-warehouse.com/descpage-HELIX13.html,P
Kirschbaum,5.4,Helix 17,http://www.tennis-warehouse.com/descpage-HELIX125.html,P
Kirschbaum,5.4,Max Power 17 (1.25),http://www.tennis-warehouse.com/descpage-KMAXPWR17.html,P
Kirschbaum,5.4,Touch Turbo 16L (1.275),http://www.tennis-warehouse.com/descpage-TURBOT16L.html,P
Kirschbaum,5.3,Super Smash 16/1.30,http://www.tennis-warehouse.com/descpage-SMASH16.html,P
Kirschbaum,5.3,Touch Turbo 1.30,http://www.tennis-warehouse.com/descpage-TURBOT16.html,P
Kirschbaum,5.2,P2 16/1.30,http://www.tennis-warehouse.com/descpage-P216.html,P
Kirschbaum,5.2,Super Smash Spiky 17 (1.25),http://www.tennis-warehouse.com/descpage-SPIKY17.html,P
Kirschbaum,5.2,Touch Turbo 17 (1.25),http://www.tennis-warehouse.com/descpage-TURBOT17.html,P
Kirschbaum,5.1,Pro Line X 16 (1.30),http://www.tennis-warehouse.com/descpage-PLX16CO.html,P
Kirschbaum,5.1,Super Smash Spiky 1.20,http://www.tennis-warehouse.com/descpage-SPKY120.html,P
Kirschbaum,5,Super Smash Spiky 16/1.30,http://www.tennis-warehouse.com/descpage-SPIKY16.html,P
Kirschbaum,4.9,Competition 16/1.30,http://www.tennis-warehouse.com/descpage-COMPK130.html,P
Kirschbaum,4.9,P2 17 (1.25),http://www.tennis-warehouse.com/descpage-P216L.html,P
Kirschbaum,4.8,P2 17L (1.20),http://www.tennis-warehouse.com/descpage-P217.html,P
Kirschbaum,4.8,Pro Line II 17L (1.20),http://www.tennis-warehouse.com/descpage-PL2120BK.html,P
Kirschbaum,4.8,Pro Line X 17 (1.25),http://www.tennis-warehouse.com/descpage-PLX17CO.html,P
Kirschbaum,4.7,Pro Line II 17 (1.25),http://www.tennis-warehouse.com/descpage-PL2125BK.html,P
Kirschbaum,4.6,Long Life 15,http://www.tennis-warehouse.com/descpage-LGLIFE15.html,P
Kirschbaum,4.5,Competition 17 (1.25),http://www.tennis-warehouse.com/descpage-COMPK125.html,P
Kirschbaum,4.5,Pro Line II 18 (1.15),http://www.tennis-warehouse.com/descpage-PL2115.html,P
Kirschbaum,4.4,Pro Line I 1.30,http://www.tennis-warehouse.com/descpage-PL1130.html,P
Kirschbaum,4.4,Pro Line I 18L (1.15),http://www.tennis-warehouse.com/descpage-PL1115.html,P
Kirschbaum,4.1,Competition 17L (1.20),http://www.tennis-warehouse.com/descpage-COMPK17.html,P
Kirschbaum,4.1,Pro Line I 17 (1.25),http://www.tennis-warehouse.com/descpage-PL1125.html,P
Kirschbaum,4.1,Touch Multifibre 16,http://www.tennis-warehouse.com/descpage-TMULTI16.html,N
Kirschbaum,3.9,Pro Line I 17L (1.20),http://www.tennis-warehouse.com/descpage-PL1120.html,P
